objectname,objectid,rating,numplays,weight,own,fortrade,want,wanttobuy,wanttoplay,prevowned,preordered,wishlist,wishlistpriority,wishlistcomment,comment,conditiontext,haspartslist,wantpartslist,collid,baverage,average,avgweight,rank,numowned,objecttype,originalname,minplayers,maxplayers,playingtime,maxplaytime,minplaytime,yearpublished,bggrecplayers,bggbestplayers,bggrecagerange,bgglanguagedependence,publisherid,imageid,year,language,other,itemtype,barcode,pricepaid,pp_currency,currvalue,cv_currency,acquisitiondate,acquiredfrom,quantity,privatecomment,invlocation,invdate,version_publishers,version_languages,version_yearpublished,version_nickname
"Caverna: The Cave Farmers","102794","8","0","0","1","0","0","0","0","0","0","0","4","","","","","","22610185","7.73185","7.92246","3.7763","62","48226","thing","Caverna: The Cave Farmers","1","7","210","210","30","2013","1,2,3,4,5","4","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Caylus","18602","7","0","0","1","0","0","0","0","0","0","0","1","","Caylus was the answer to Puerto Rico's table position problem. I enjoy it but it's not the be-all end-all.","","","","8614516","7.49154","7.70405","3.7908","138","29702","thing","Caylus","2","5","150","150","60","2005","2,3,4,5","3","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"City of Six Moons","421304","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","133003828","5.57489","7.30859","4.1667","10876","870","thing","City of Six Moons","1","1","0","0","0","2024","1","1","14+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Clank! Legacy: Acquisitions Incorporated","266507","7","0","0","1","0","0","0","0","0","0","0","3","","","","","","90353249","7.93923","8.49897","2.7378","28","19247","thing","Clank! Legacy: Acquisitions Incorporated","2","4","120","120","90","2019","2,3,4","4","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Codenames","178900","9","0","0","1","0","0","0","0","0","0","0","3","","","","","","31662841","7.42906","7.52545","1.2558","162","179243","thing","Codenames","2","8","15","15","15","2015","4,5,6,7,8","6,8","10+","Unplayable in another language","","","","","","standalone","","","","","","","","","","","","","","",""
"Commands & Colors: Ancients","14105","8","0","0","1","0","0","0","0","0","0","0","1","","Card driven 2P war game set in Ancient Greece and Rome. Lots of scenarios and a campaign mode. I liked it!","","","","9819837","7.27536","7.77787","2.6869","250","12603","thing","Commands & Colors: Ancients","2","2","60","60","60","2006","2","2","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Compile","406652","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","141316954","6.87849","7.82604","2.3562","638","10397","thing","Compile","2","2","30","30","20","2024","2","2","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Compile: Aux  1","417813","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","141316962","5.91239","8.14022","2","0","3752","thing","Compile: Aux  1","2","2","30","30","20","2024","2","2","14+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","","","",""
"Compile: Main 2","440606","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","141316940","5.93986","8.23359","2","3545","3047","thing","Compile: Main 2","2","2","30","30","20","2025","2","2","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Condottiere","112","8","0","0","1","0","0","0","0","0","0","0","3","","We play with a simple variant (no more than 7 cards per-player per-battle) which makes the game much more interesting.","","","","2954272","6.62223","6.89495","1.9514","1053","13875","thing","Condottiere","2","6","45","45","20","1995","3,4,5,6","4,5","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Corsairs","840","7","0","0","1","0","0","0","0","0","0","0","3","","Decent little game. Feels like it could have been stronger with a couple of tweaks but still fun.","","","","2954274","5.6021","6.06038","1.6739","9257","829","thing","Corsairs","2","4","60","60","60","2000","2,3,4","4","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Cosmic Encounter","39463","9","0","0","1","0","0","0","0","0","0","0","3","","","","","","114102901","7.31436","7.50771","2.5814","228","43519","thing","Cosmic Encounter","3","5","120","120","60","2008","4,5","5","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Coup","131357","8","0","0","1","0","0","0","0","0","0","0","1","","Fantastic game for 4-6p. Simple, exciting, and moreish. Plan to play a dozen rounds. Great at the pub.","","","","21624002","6.83159","6.97498","1.4154","715","92930","thing","Coup","2","6","15","15","15","2012","3,4,5,6","5","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Coup: Rebellion G54","148943","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","49036019","6.29597","6.98385","1.9529","1866","7791","thing","Coup: Rebellion G54","3","6","15","15","15","2014","3,4,5,6","5,6","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Coup: Reformation","148931","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","24589794","6.71243","7.25366","1.6025","0","21422","thing","Coup: Reformation","2","10","15","15","15","2013","4,5,6,7,8","6","12+","Some necessary text - easily memorized or small crib sheet","","","","","","expansion","","","","","","","","","","","","","","",""
"The Crew: Mission Deep Sea","324856","8","0","0","1","0","0","0","0","0","0","0","3","","","","","","86860602","7.80842","8.05201","2.0467","43","50899","thing","The Crew: Mission Deep Sea","2","5","20","20","20","2021","3,4,5","4","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"The Crew: The Quest for Planet Nine","284083","9","0","0","1","0","0","0","0","0","0","0","3","","","","","","73897939","7.61822","7.75751","1.9658","92","93085","thing","The Crew: The Quest for Planet Nine","2","5","20","20","20","2019","3,4,5","4","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Cribbage","2398","8","0","0","1","0","0","0","0","0","0","0","3","","","","","","19181337","6.80075","7.12219","2.5174","751","18762","thing","Cribbage","2","6","30","30","30","1630","2,3,4","2","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Cryptid","246784","7","0","0","1","0","0","0","0","0","0","0","1","","","","","","67500480","7.16256","7.42579","2.2558","338","23334","thing","Cryptid","3","5","50","50","30","2018","3,4,5","4","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Cubitos","298069","7","0","0","1","0","0","0","0","0","0","0","1","","","","","","86860648","6.99588","7.36238","2.1682","506","17738","thing","Cubitos","2","4","60","60","30","2021","2,3,4","3,4","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Cuzco","249411","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","67500507","6.14247","7.42088","2.6462","2450","3225","thing","Cuzco","2","4","90","90","90","2018","2,3,4","3","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Dead of Winter: A Crossroads Game","150376","7","0","0","1","0","0","0","0","0","0","0","1","","","","","","27887748","7.27156","7.43942","3.0143","251","69391","thing","Dead of Winter: A Crossroads Game","2","5","120","120","60","2014","3,4,5","4","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Delve","217894","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","45578039","5.68837","6.37671","2.0455","6516","1974","thing","Delve","2","4","60","60","60","2017","2,3,4","3","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Delve","217894","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","49035050","5.68837","6.37671","2.0455","6516","1974","thing","Delve","2","4","60","60","60","2017","2,3,4","3","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Descent: Legends of the Dark","322708","7","0","0","1","0","0","0","0","0","0","0","1","","","","","","86860592","7.01562","7.88929","2.7076","483","12548","thing","Descent: Legends of the Dark","1","4","180","180","120","2021","1,2,3,4","4","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Dixit","39856","7","0","0","1","0","0","0","0","0","0","0","1","","A non-gamer's game. Kind of a visual Balderdash. Good with creative people.","","","","12368257","7.06617","7.18147","1.1922","422","107975","thing","Dixit","3","6","30","30","30","2008","4,5,6","5,6","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Dominion","36218","9","0","0","1","0","0","0","0","0","0","0","1","","The Deck Builder. Always great.","","","","8614514","7.47412","7.59743","2.3445","145","130148","thing","Dominion","2","4","30","30","30","2008","2,3,4","3","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Dominion: Alchemy","66098","7","0","0","1","0","0","0","0","0","0","0","1","","","","","","15427241","6.58597","6.9218","2.4461","0","21217","thing","Dominion: Alchemy","2","4","30","30","30","2010","2,3,4","3","10+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","","","",""
"Dominion: Cornucopia","90850","7","0","0","1","0","0","0","0","0","0","0","1","","","","","","15427243","7.03606","7.67222","2.3862","0","15512","thing","Dominion: Cornucopia","2","4","30","30","30","2011","2,3,4","3","10+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","","","",""
"Dominion: Guilds","137166","7","0","0","1","0","0","0","0","0","0","0","3","","","","","","23632460","6.83337","7.84912","2.479","0","9840","thing","Dominion: Guilds","2","4","30","30","30","2013","2,3,4","3","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","expansion","","","","","","","","","","","","","","",""
"Dominion: Hinterlands","104557","7","0","0","1","0","0","0","0","0","0","0","1","","","","","","15427245","7.2482","7.93082","2.536","0","17701","thing","Dominion: Hinterlands","2","4","30","30","30","2011","2,3,4","3","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","expansion","","","","","","","","","","","","","","",""
"Dominion: Intrigue","40834","8","0","0","1","0","0","0","0","0","0","0","1","","","","","","8614563","7.5021","7.6866","2.4103","132","51316","thing","Dominion: Intrigue","2","6","30","30","30","2009","2,3,4","3","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Dominion: Prosperity","66690","7","0","0","1","0","0","0","0","0","0","0","3","","","","","","12853077","7.81863","8.22177","2.4724","0","34992","thing","Dominion: Prosperity","2","4","30","30","30","2010","2,3,4","3","10+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","","","",""
"Dominion: Seaside","51811","8","0","0","1","0","0","0","0","0","0","0","3","","","","","","12853078","7.65279","8.01411","2.4912","0","35728","thing","Dominion: Seaside","2","4","30","30","30","2009","2,3,4","3","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","expansion","","","","","","","","","","","","","","",""
"Dragon Slayer","158243","0","0","0","1","0","0","0","0","0","0","0","3","","Rules look disappointing. :(","","","","24589802","5.51852","5.59189","1.1099","19693","3693","thing","Dragon Slayer","2","5","15","15","15","2014","2,3,4,5","3","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Dune","121","8","0","0","1","0","0","0","0","0","0","0","3","","print 'n play","","","","19181211","6.93946","7.58202","3.4527","573","6905","thing","Dune","2","6","180","180","60","1979","4,5,6","6","14+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Dune","283355","7","0","0","1","0","0","0","0","0","0","0","1","","","","","","86863175","7.35111","7.91657","3.9806","211","22499","thing","Dune","2","6","180","180","120","2019","5,6","6","14+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Dune: Imperium","316554","8","0","0","1","0","0","0","0","0","0","0","3","","","","","","84277366","8.22432","8.41383","3.0758","6","77348","thing","Dune: Imperium","1","4","120","120","60","2020","1,2,3,4","3,4","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Dungeon Lords","45315","7","0","0","1","0","0","0","0","0","0","0","1","","Vlaada Chivatl never makes the same game twice (except, I guess, the more recent Dungeon Petz?). This is a neat mix between a worker placement game and a solitaire puzzle solver.","","","","12368253","7.05898","7.34406","3.5739","433","16855","thing","Dungeon Lords","2","4","90","90","90","2009","2,3,4","4","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Earthborne Rangers","342900","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","133377456","7.00313","8.0762","3.4762","494","11464","thing","Earthborne Rangers","1","4","240","240","60","2023","1,2,3","2","12+","Unplayable in another language","","","","","","standalone","","","","","","","","","","","","","","",""
"Eclipse: New Dawn for the Galaxy","72125","8","0","0","1","0","0","0","0","0","0","0","3","","Twilight Imperium Light! I've had about a half-dozen games and I always wish I could put it on the table more.","","","","18660169","7.5879","7.81684","3.7061","102","28340","thing","Eclipse: New Dawn for the Galaxy","2","6","180","180","60","2011","2,3,4,5,6","4,6","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Eclipse: Rise of the Ancients","125898","7","0","0","1","0","0","0","0","0","0","0","3","","Adds a bit of depth to Eclipse and upgrades a few edges here and there. Worth adding.","","","","19181429","7.25071","8.39334","3.6798","0","9836","thing","Eclipse: Rise of the Ancients","2","9","120","120","120","2012","2,3,4,5,6,7,8,9","4,6","14+","No necessary in-game text","","","","","","expansion","","","","","","","","","","","","","","",""
"Elder Sign","100423","7","0","2","1","0","0","0","0","0","0","0","3","","""Roll Through the Horror""","","","","13673234","6.77603","6.96696","2.3432","789","44097","thing","Elder Sign","1","8","90","90","90","2011","1,2,3,4","4","12+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Eldritch Horror","146021","8","0","0","1","0","0","0","0","0","0","0","3","","Suffers a lack of narrative that Arkham and other card driven stories have but for players who can bring their own narrative it's a nice mash-up of Arkham Horror and Pandemic.","","","","21623993","7.49162","7.74326","3.3172","137","60097","thing","Eldritch Horror","1","8","240","240","120","2013","1,2,3,4,5","4","14+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Endeavor","33160","8","0","0","1","0","0","0","0","0","0","0","3","","Another under-appreciated gem. Essentially a game of concurrent auctions for control of the various colonies but complicated by rewards that get paid out for each move - you want the majority, but do you want to set up the next player to claim some reward they've been waiting for?","","","","9819841","6.99037","7.36858","2.9098","513","7618","thing","Endeavor","3","5","90","90","90","2009","3,4,5","4,5","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Escape from the Aliens in Outer Space","82168","9","0","0","1","0","0","0","0","0","0","0","3","","A hidden gem. How many games can you sit around a table, write something hidden on a pad, and tell the next person it's their turn and still be absolutely GRIPPED by the experience?","","","","23632517","6.45565","6.91132","1.9756","1424","9551","thing","Escape from the Aliens in Outer Space","2","8","45","45","20","2010","4,5,6,7,8","6","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"The Everdeck","291951","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","69374903","5.5821","8.74189","2.75","10392","219","thing","The Everdeck","1","10","0","0","0","2019","1,2,3,4,5,6,7,8,9,10","1,2,3,4,5,6,7,8,9,10","","","","","","","","standalone","","","","","","","","","","","","","","",""
"Evolution: Climate","182134","8","0","0","1","0","0","0","0","0","0","0","3","","","","","","49036032","6.97072","7.44376","2.7354","530","14190","thing","Evolution: Climate","2","6","60","60","60","2016","2,3,4,5","4","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"The Expanse Board Game","220792","9","0","0","1","0","0","0","0","0","0","0","3","","","","","","49035018","6.22227","7.1602","2.8182","2139","3232","thing","The Expanse Board Game","2","4","60","60","60","2017","3,4","4","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Factory Fun","24417","7","0","0","1","0","0","0","0","0","0","0","3","","Competitive solitaire, but a nice brain teaser.","","","","23632457","6.2805","6.79121","2.5016","1920","3442","thing","Factory Fun","2","5","45","45","45","2006","1,2,3,4,5","4","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"First Martians: Adventures on the Red Planet","192455","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","49035001","5.9594","6.34646","4.1532","3412","11551","thing","First Martians: Adventures on the Red Planet","1","4","90","90","60","2017","1,2,3,4","1","14+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Flash Duel: Second Edition","107190","7","0","0","1","0","0","0","0","0","0","0","3","","In general, I hate Sirlin for layering fighting game character mechanics onto existing games and then talking about it like he's some kind of game design and game balance god... but this is a nice upgrade of the classic Knizia ""En Garde!""","","","","19181293","5.81479","6.8165","1.6102","4611","1137","thing","Flash Duel: Second Edition","1","5","15","15","5","2011","2,3,4,5","2","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Fluxx","258","5","0","0","1","1","0","0","0","0","0","0","3","","It's a classic, but mostly because it's old.","","","","19181445","5.56229","5.67808","1.3882","11927","33062","thing","Fluxx","2","6","30","30","5","1997","2,3,4,5,6","4","8+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Fog of Love","175324","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","59657501","6.32677","6.59935","2.2515","1775","18376","thing","Fog of Love","2","2","120","120","60","2017","2","2","16+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Fog of Love: It Will Never Last","262292","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","59657504","5.61633","7.19107","3","0","2158","thing","Fog of Love: It Will Never Last","2","2","120","120","60","2018","","","","","","","","","","expansion","","","","","","","","","","","","","","",""
"Fog of Love: Paranormal Romance","262293","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","59657506","5.6154","6.89678","3","0","2338","thing","Fog of Love: Paranormal Romance","2","2","120","120","60","2018","","","","","","","","","","expansion","","","","","","","","","","","","","","",""
"Fog of Love: Trouble with the In-Laws","262295","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","59657507","5.61843","7.18814","3","0","2255","thing","Fog of Love: Trouble with the In-Laws","2","2","120","120","60","2018","","","","","","","","","","expansion","","","","","","","","","","","","","","",""
"For Sale","172","8","0","0","1","0","0","0","0","0","0","0","3","","Great quick light game for playing with infrequent gamers.","","","","19181671","7.13916","7.26536","1.2503","354","43731","thing","For Sale","3","6","30","30","30","1997","3,4,5,6","5","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Frosthaven","295770","8","0","0","1","0","0","0","0","0","0","0","1","","","","","","114058886","7.97057","8.74188","4.4125","21","24406","thing","Frosthaven","1","4","180","180","90","2022","1,2,3,4","3","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Frostpunk: The Board Game","311988","8","0","0","1","0","0","0","0","0","0","0","3","","Incredibly overwrought but a surprisingly satisfying collaborative puzzle with four players. Truly a solo game but too complex for one person to solve. The result is a dialogue about priorities and tradeoffs where everyone has a voice but nobody is quite sure.","","","","102460212","7.1104","8.13499","4.4026","373","11610","thing","Frostpunk: The Board Game","1","4","150","150","120","2022","1,2","1","16+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Frostpunk: The Board Game – Frostlander","323382","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","114058900","6.01553","8.49475","3.8182","0","4732","thing","Frostpunk: The Board Game – Frostlander","1","4","150","150","120","2022","1,2","1","14+","Unplayable in another language","","","","","","expansion","","","","","","","","","","","","","","",""
"Galaxy Trucker","31481","9","0","0","1","0","0","0","0","0","0","0","3","","The harder you make this game for yourself, the better it is. You *want* your ship to limp across the finish line.","","","","8971295","7.18481","7.32316","2.3283","315","40043","thing","Galaxy Trucker","2","4","60","60","60","2007","2,3,4","4","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Galaxy Trucker: Another Big Expansion","97845","8","0","0","1","0","0","0","0","0","0","0","3","","Delightful!","","","","19181526","6.35258","8.02519","2.975","0","4340","thing","Galaxy Trucker: Another Big Expansion","2","5","90","90","60","2012","2,3,4,5","4","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","expansion","","","","","","","","","","","","","","",""
"Galaxy Trucker: The Big Expansion","38378","7","0","0","1","0","0","0","0","0","0","0","3","","Adds lots of great new challenges.","","","","19181532","6.91639","7.93456","2.677","0","8321","thing","Galaxy Trucker: The Big Expansion","2","5","60","60","60","2008","2,3,4,5","4","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","expansion","","","","","","","","","","","","","","",""
"A Game of Thrones","6472","8","0","0","1","0","0","0","0","0","0","0","1","","So much to love about this game, though I feel like the expansions are required addons to fix problems with the original.","","","","3149444","6.79257","7.16203","3.4492","759","10537","thing","A Game of Thrones","3","5","180","180","180","2003","4,5","5","14+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"A Game of Thrones: A Clash of Kings Expansion","10873","8","0","0","1","0","0","0","0","0","0","0","3","","Adds a 6p variant which the 2nd edition baked in out of the box.","","","","6831383","6.50539","7.78319","3.4475","0","3552","thing","A Game of Thrones: A Clash of Kings Expansion","3","6","180","180","120","2004","5,6","6","14+","Moderate in-game text - needs crib sheet or paste ups","","","","","","expansion","","","","","","","","","","","","","","",""
"A Game of Thrones: A Storm of Swords Expansion","19400","8","0","0","1","0","0","0","0","0","0","0","1","","Never did get to play the 4p board with the minor houses. Sad.","","","","6831385","6.21996","7.77313","3.5532","0","2549","thing","A Game of Thrones: A Storm of Swords Expansion","3","4","180","180","120","2006","4","4","14+","Moderate in-game text - needs crib sheet or paste ups","","","","","","expansion","","","","","","","","","","","","","","",""
"A Game of Thrones: The Board Game (Second Edition)","103343","10","0","0","1","0","0","0","0","0","0","0","3","","The second edition incorporates most of the best elements of the first edition's expansions. Glorious.","","","","14436259","7.30218","7.52822","3.7348","237","52666","thing","A Game of Thrones: The Board Game (Second Edition)","3","6","240","240","120","2011","4,5,6","6","14+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Gauntlet of Fools","129293","8","0","0","1","0","0","0","0","0","0","0","3","","A fun under 30m romp best with people who just can't let go of what they want.","","","","19437749","5.6376","5.9837","1.4648","7829","1440","thing","Gauntlet of Fools","2","6","30","30","30","2012","3,4,5,6","6","8+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Gloomhaven","174430","9","0","0","1","0","0","0","0","0","0","0","3","","","","","","49034979","8.29958","8.54099","3.9179","4","104314","thing","Gloomhaven","1","4","120","120","60","2017","1,2,3,4","3","14+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Gloomhaven: Jaws of the Lion","291457","8","0","0","1","0","0","0","0","0","0","0","1","","","","","","79600112","8.09851","8.36284","3.6379","12","88364","thing","Gloomhaven: Jaws of the Lion","1","4","120","120","30","2020","1,2,3,4","2","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Glory to Rome","19857","9","0","0","1","0","0","0","0","0","0","0","3","","The Kickstarter edition makes this phenomenal game a beautiful one. Don't get the classic version. Hard to teach but not hard to play once you get over the initial explanation.","","","","19181488","7.21167","7.49272","2.9329","292","16209","thing","Glory to Rome","2","5","60","60","60","2005","2,3,4,5","3,4","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Go","188","8","0","0","1","0","0","0","0","0","0","0","1","","Takes a few years to learn how to play.","","","","4915708","7.30322","7.65751","3.912","234","26422","thing","Go","2","2","180","180","30","-2200","2","2","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"The Good, the Bad, and the Munchkin","30166","6","0","0","1","1","0","0","0","0","0","0","3","","Even More Munchkin.","","","","8614609","5.70828","6.17548","1.9429","6098","3885","thing","The Good, the Bad, and the Munchkin","3","6","90","90","90","2007","3,4,5,6","4,5","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"El Grande","93","9","0","4","1","0","0","0","0","0","0","0","3","","Bought my own copy of the Decennial edition. Great game.","","","","2955670","7.59211","7.77068","2.9342","100","35419","thing","El Grande","2","5","120","120","60","1995","3,4,5","5","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"The El Grande Expansions","583","9","0","4","1","0","0","0","0","0","0","0","3","","Bought my own copy of the Decennial edition. Great game.","","","","2955672","5.87405","7.33629","3.0833","0","1698","thing","The El Grande Expansions","2","5","90","90","90","2000","4,5","5","","Moderate in-game text - needs crib sheet or paste ups","","","","","","expansion","","","","","","","","","","","","","","",""
"The Great Dalmuti","929","8","0","1","1","0","0","0","0","0","0","0","1","","Sure, it's pretty much just ""President"", but it plays better, the cards are nice, and every time I get the deck out, we play for a few hours.","","","","2955735","6.30804","6.59723","1.2838","1829","15815","thing","The Great Dalmuti","4","8","60","60","60","1995","5,6,7,8","6,7","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Hanabi","98778","8","0","0","1","0","0","0","0","0","0","0","3","","","","","","49036069","6.92154","7.02989","1.6898","595","90298","thing","Hanabi","2","5","25","25","25","2010","2,3,4,5","4","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Hansa Teutonica","43015","8","0","0","1","0","0","0","0","0","0","0","1","","","","","","114102825","7.4698","7.74952","3.0907","147","14240","thing","Hansa Teutonica","2","5","90","90","45","2009","3,4,5","5","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Hansa Teutonica: Big Box","286749","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","86862610","7.64883","8.37324","2.9648","0","15826","thing","Hansa Teutonica: Big Box","3","5","90","90","45","2020","3,4,5","5","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Le Havre","35677","8","0","5","1","0","0","0","0","0","0","0","2","","Agricola++. Changes the feeling of starvation into a feeling of plenty, which makes it more fun for me.","","","","8614515","7.65762","7.83486","3.7086","80","39990","thing","Le Havre","1","5","150","150","30","2008","1,2,3,4","3","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Le Havre: Le Grand Hameau","65996","7","0","0","1","0","0","0","0","0","0","0","3","","Small upgrade to Le Havre.","","","","19181752","6.29862","7.81473","3.4348","0","4895","thing","Le Havre: Le Grand Hameau","1","5","150","150","150","2010","1,2,3,4","3","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","expansion","","","","","","","","","","","","","","",""
"Heat: Pedal to the Metal","366013","8","0","0","1","0","0","0","0","0","0","0","3","","","","","","134914524","7.79474","7.99921","2.2027","47","60037","thing","Heat: Pedal to the Metal","1","6","60","60","30","2022","1,2,3,4,5,6","5,6","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"High Frontier","47055","8","0","0","1","0","0","0","0","0","0","0","3","","Worst rulebook ever, but realistic SPACE EXPLORATION the game! So cool!","","","","19181260","6.22673","7.34712","4.3547","2124","2472","thing","High Frontier","2","5","180","180","180","2010","1,2,3,4,5","3,4","14+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
